#{"t_start": 1777453399.439731, "env_id": "None"}
r,l,t
-73.505005,62,0.498208
-69.98593,66,0.499784
-69.137375,68,0.500521
-71.004524,71,0.501611
-68.410545,65,0.523715
-67.2209,60,0.52416
-69.118675,69,0.526725
-74.708145,66,0.527486
-72.70945,63,0.548344
-74.3932,67,0.55022
-69.37992,63,0.551322
-71.498825,65,0.552647
-70.40119,63,0.572256
-70.099594,64,0.574589
-70.57903,67,0.578714
-73.10464,74,0.57974
-69.310394,61,0.598153
-72.48821,69,0.599011
-68.941055,60,0.601465
-72.993164,65,0.604017
-66.935036,59,0.621701
-72.57105,65,0.624928
-67.233665,59,0.625323
-67.45401,62,0.628999
-72.0986,64,0.646405
-72.69897,70,0.651648
-72.31438,73,0.653093
-70.28389,62,0.653106
-71.13302,64,0.945186
-77.924805,80,0.946562
-65.6344,64,0.962124
-71.98034,73,0.995533
-67.70126,61,1.219717
-70.09379,62,1.241135
-72.70342,69,1.258016
-71.48685,73,1.318369
-67.03589,59,1.461045
-67.745445,59,1.493484
-70.25415,67,1.508312
-67.92225,69,1.60118
-74.681114,67,1.762679
-71.1947,65,1.822743
-71.39378,70,1.840578
-72.924255,74,1.96488
-71.16177,67,2.069421
-68.186935,64,2.106778
-71.10711,63,2.107471
-69.08189,77,2.375635
-64.96231,68,2.448673
-65.90807,69,2.482573
-76.84568,87,2.578872
-72.28415,76,2.713923
-69.00046,70,2.774796
-67.719475,67,2.791869
-68.02963,67,2.882018
-61.71359,63,3.00481
-71.53998,68,3.071855
-67.85957,69,3.089361
-72.96425,71,3.191781
-74.33086,70,3.300062
-70.43286,63,3.34015
-74.13562,69,3.414455
-75.46277,67,3.482978
-75.20727,69,3.61746
-72.08101,76,3.671147
-70.53187,71,3.705862
-72.70444,76,3.799426
-70.861725,63,3.864393
-71.917336,70,3.96329
-70.02673,63,3.964032
-65.29518,64,4.073993
-66.72399,74,4.190557
-70.60479,61,4.230805
-68.37424,68,4.260355
-73.0411,74,4.385206
-71.225494,70,4.464914
-69.056076,76,4.532091
-67.12685,71,4.546079
-67.11692,64,4.644412
-72.16396,71,4.756488
-75.18971,69,4.828682
-73.71225,77,4.860464
-70.42746,74,4.963116
-67.42586,72,5.096239
-72.27638,71,5.160047
-65.339645,66,5.17679
-67.961586,70,5.286729
-69.715004,68,5.390653
-71.52711,69,5.47046
-70.24847,69,5.486238
-70.20979,73,5.602268
-64.82397,61,5.7185
-73.85789,82,5.757648
-71.44272,79,5.808802
-67.81508,69,5.88915
-67.14188,72,6.059729
-71.71437,70,6.078257
-72.90459,76,6.157113
-68.43174,67,6.202664
-74.49826,71,6.364271
-78.172935,89,6.420854
-69.6211,72,6.456893
-65.64081,70,6.523928
-67.36358,72,6.785636
-66.706085,67,6.803729
-76.648636,98,6.803758
-71.18025,87,6.81994
-67.49049,65,7.081141
-65.44529,67,7.100811
-71.560234,76,7.147364
-72.67519,81,7.162321
-67.08532,70,7.358733
-66.16277,72,7.438767
-67.45633,75,7.456251
-73.87984,90,7.470012
-65.894325,68,7.631243
-68.014015,66,7.697574
-68.592575,70,7.750099
-68.739975,69,7.750124
-67.83653,66,7.928614
-69.058,75,8.025012
-69.734726,68,8.042263
-64.65479,72,8.058669
-67.58532,79,8.245415
-68.210625,69,8.318989
-64.52511,63,8.33361
-70.12514,67,8.333629
-68.96037,65,8.627613
-65.784676,67,8.630104
-72.40872,86,8.64787
-68.40516,71,8.64918
-67.41091,62,8.895475
-66.22504,63,8.913512
-66.85388,63,8.929678
-68.14115,73,8.978226
-66.39421,67,9.195603
-65.47072,66,9.215586
-67.84096,73,9.23452
-70.60577,75,9.304535
-64.09516,67,9.512563
-69.12845,73,9.513827
-63.38508,69,9.548555
-66.1642,76,9.643825
-65.1946,69,9.807102
-67.572044,70,9.822544
-68.124855,71,9.854753
-68.41226,73,10.017787
-68.196884,68,10.176607
-69.351364,76,10.228963
-66.91683,72,10.231517
-68.68509,76,10.368421
-67.23039,74,10.530222
-69.54385,68,10.553449
-67.47034,83,10.623627
-68.792725,76,10.730431
-67.55563,72,10.898026
-67.00442,78,10.89999
-68.79819,81,11.005582
-67.43732,72,11.074942
-64.798904,69,11.207144
-75.6765,86,11.296519
-67.80623,77,11.40155
-64.922676,71,11.427457
-63.36824,63,11.556886
-67.260414,68,11.696286
-63.825855,68,11.774009
-67.635284,73,11.836096
-66.45744,75,11.935349
-65.93342,82,12.172427
-70.68909,103,12.197459
-63.773296,78,12.221261
-64.93192,71,12.292938
-65.427055,76,12.532165
-63.813725,71,12.532196
-64.89626,74,12.566848
-69.34216,74,12.635169
-68.72555,70,12.847643
-71.010574,84,12.899544
-67.152626,69,12.931797
-77.68701,104,13.014774
-60.974903,67,13.132111
-66.70016,72,13.212155
-67.38908,73,13.243951
-68.25542,73,13.323419
-66.407715,73,13.461635
-64.26432,81,13.569755
-64.47096,74,13.584361
-63.171425,73,13.664432
-64.90157,75,13.776822
-66.21393,70,13.881732
-65.00505,77,13.934277
-64.733894,74,14.002262
-62.293427,70,14.11406
-61.309082,77,14.240818
-64.05543,78,14.278048
-65.18888,74,14.328004
-62.54421,69,14.409662
-63.55608,77,14.573061
-62.83829,78,14.607222
-63.137585,80,14.661849
-64.96224,78,14.746384
-68.50339,74,14.8843
-67.050865,75,14.919366
-64.55283,73,14.970115
-63.85672,77,15.074176
-64.376595,72,15.211419
-63.674324,74,15.313427
-64.58179,82,15.449885
-63.900383,80,15.683475
-63.72568,80,15.794507
-66.9594,81,16.014164
-59.149918,71,16.092902
-62.56128,71,16.300177
-62.301563,79,16.410335
-64.553635,78,16.608708
-64.66071,71,16.707922
-61.386322,75,16.923926
-63.206924,80,17.036457
-65.53184,90,17.302249
-63.070896,73,17.336465
-672.9452,600,17.469115
-60.244034,70,17.6487
-66.47914,88,17.699212
-665.4482,600,17.756216
-61.438515,69,17.803563
-63.717377,76,18.010254
-62.355938,81,18.080613
-65.045746,100,18.211346
-64.96834,74,18.327501
-59.63166,73,18.377729
-65.5422,79,18.541631
-67.37659,78,18.659333
-63.227257,74,18.711863
-59.034004,80,18.930122
-64.6142,76,19.00898
-64.99695,76,19.053857
-65.7174,82,19.251408
-61.863255,75,19.318913
-62.12919,83,19.401005
-61.17551,77,19.589256
-63.591915,91,19.707087
-64.26676,79,19.723644
-61.765446,71,19.873757
-63.07662,74,20.001727
-64.03315,75,20.046698
-59.425716,73,20.330673
-61.9676,77,20.366225
-675.94867,600,20.388703
-66.248924,128,20.433882
-63.131676,75,20.680398
-62.114006,73,20.730314
-68.166245,94,20.807652
-62.005215,81,20.807681
-68.11284,78,21.030587
-59.902573,69,21.115841
-68.76555,92,21.132183
-63.932735,81,21.167999
-62.84334,74,21.353973
-63.70268,77,21.461374
-62.89634,74,21.462137
-62.81531,82,21.527729
-63.913643,81,21.713637
-63.08189,79,21.798049
-64.866425,82,21.815683
-65.52984,79,21.873202
-63.991608,85,22.075561
-64.697586,73,22.10962
-65.90538,75,22.140452
-66.0002,78,22.206921
-64.28498,75,22.41298
-73.59632,87,22.430555
-61.589344,74,22.525897
-61.895863,76,22.788673
-68.988014,84,22.806977
-62.326263,72,22.845058
-62.72967,73,23.101545
-62.108116,69,23.152217
-64.39272,86,23.189727
-72.24607,86,23.527246
-63.213123,76,23.527277
-61.298637,74,23.561394
-63.7827,72,23.85234
-64.49477,77,23.885866
-63.35088,76,23.903001
-61.28781,71,24.147335
-67.54961,72,24.195776
-70.342865,81,24.211541
-64.98299,76,24.465039
-63.68077,69,24.500196
-64.70776,76,24.516709
-653.6547,600,24.814553
-65.85189,76,24.81593
-64.29877,76,24.85303
-65.214645,77,24.870572
-66.78186,75,25.120075
-66.77925,74,25.133821
-63.342598,73,25.152835
-63.286125,74,25.183613
-65.363525,72,25.421555
-66.1385,72,25.440964
-64.44721,72,25.464214
-65.32917,76,25.51413
-67.062645,77,25.875878
-67.46944,78,25.877883
-64.574,73,25.901454
-67.98303,83,25.992167
-65.18927,73,26.257406
-64.14939,81,26.273198
-69.7716,83,26.29594
-68.59183,87,26.39595
-66.57592,69,26.550055
-63.610474,71,26.598702
-70.20551,94,26.666602
-66.34418,92,26.776967
-64.68091,72,26.838987
-63.576427,75,26.88632
-65.48286,77,26.982713
-65.60816,77,27.082247
-68.31673,77,27.210431
-68.04889,93,27.212471
-66.31513,74,27.278643
-63.89301,79,27.409767
-62.978146,74,27.52484
-69.270966,98,27.612063
-68.90298,98,27.69655
-66.13175,80,27.747455
-63.630013,76,27.8458
-67.361015,83,27.969066
-61.806263,71,28.077085
-67.09825,91,28.097826
-63.030693,78,28.202565
-68.0601,88,28.364657
-63.459522,72,28.38146
-64.48512,84,28.444901
-68.49933,84,28.544164
-64.82401,76,28.70103
-66.90594,85,28.720042
-65.553276,79,28.782084
-63.05584,74,28.858689
-63.316837,76,29.044471
-63.74705,83,29.062843
-61.784565,78,29.132172
-62.656628,71,29.178921
-62.61472,74,29.350396
-66.23327,77,29.351576
-64.87178,73,29.414154
-66.08353,79,29.477097
-59.499077,69,29.632352
-65.44515,71,29.649286
-63.77973,92,29.791454
-60.55743,85,29.838432
-61.292183,77,29.949766
-62.652687,85,29.992237
-64.12854,83,30.135892
-62.804543,72,30.135918
-62.96662,80,30.290767
-61.86825,76,30.309786
-64.29183,75,30.453271
-61.825356,75,30.453301
-59.9937,76,30.641935
-59.761623,86,30.659526
-61.984886,72,30.756041
-61.952606,78,30.787132
-61.37954,80,30.967443
-57.746857,78,30.983328
-58.798622,83,31.130206
